Date received,Product,Sub-product,Issue,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Processing Days
2012-03-05,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77581.0,,Referral,3/06/12,Closed without relief,Yes,No,30623,1 days 00:00:00.000000000
2012-03-22,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",CAPITAL ONE FINANCIAL CORPORATION,NJ,7105.0,,Referral,3/23/12,Closed with relief,Yes,No,38983,1 days 00:00:00.000000000
2012-03-15,Bank account or service,Checking account,Deposits and withdrawals,"MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92046.0,,Referral,3/21/12,Closed without relief,Yes,Yes,17633,6 days 00:00:00.000000000
2012-03-15,Bank account or service,Checking account,"Account opening, closing, or management",WELLS FARGO & COMPANY,FL,32258.0,,Referral,3/20/12,Closed without relief,Yes,Yes,17654,5 days 00:00:00.000000000
2012-03-27,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",VA,22401.0,,Web,3/28/12,Closed without relief,Yes,Yes,41429,1 days 00:00:00.000000000
2012-05-10,Bank account or service,Savings account,"Account opening, closing, or management",BOK FINANCIAL CORP,NM,87112.0,,Referral,7/02/12,Closed with explanation,Yes,No,38632,53 days 00:00:00.000000000
2012-01-04,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",U.S. BANCORP,FL,32073.0,,Web,1/06/12,Closed without relief,Yes,Yes,9426,2 days 00:00:00.000000000
2012-01-20,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",HSBC NORTH AMERICA HOLDINGS INC.,MI,48320.0,,Web,1/25/12,Closed with relief,Yes,No,15458,5 days 00:00:00.000000000
2012-01-17,Credit card,,Closing/Cancelling account,JPMORGAN CHASE & CO.,CT,6340.0,,Phone,1/20/12,Closed without relief,Yes,No,14053,3 days 00:00:00.000000000
2012-01-09,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",WELLS FARGO & COMPANY,WY,83014.0,,Postal mail,1/11/12,Closed without relief,Yes,No,11728,2 days 00:00:00.000000000
2012-01-01,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",JPMORGAN CHASE & CO.,CT,6333.0,,Web,1/03/12,Closed without relief,Yes,Yes,9031,2 days 00:00:00.000000000
2012-01-24,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","CITIBANK, N.A.",NV,89031.0,,Referral,1/24/12,Closed without relief,No,No,16435,0 days 00:00:00.000000000
2012-01-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",JPMORGAN CHASE & CO.,WY,83101.0,,Web,2/02/12,Closed without relief,Yes,Yes,12607,2 days 00:00:00.000000000
2012-01-12,Mortgage,Other mortgage,"Application, originator, mortgage broker",Ditech Financial LLC,NV,89052.0,,Web,3/23/12,Closed without relief,Yes,No,12945,71 days 00:00:00.000000000
2012-01-26,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",NV,89074.0,,Referral,1/26/12,Closed without relief,Yes,Yes,17207,0 days 00:00:00.000000000
2012-01-22,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NV,89012.0,,Web,3/23/12,Closed without relief,Yes,No,15695,61 days 00:00:00.000000000
